IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
54.234.131.176,443,443,true,IAD,North America,US,Ashburn,342,0.21
54.197.121.105,443,443,true,IAD,North America,US,Ashburn,366,0.20
54.160.222.66,443,443,true,IAD,North America,US,Ashburn,292,0.20
54.167.34.124,443,443,true,IAD,North America,US,Ashburn,365,0.20
34.201.62.96,443,443,true,IAD,North America,US,Ashburn,295,0.20
54.164.55.43,443,443,true,IAD,North America,US,Ashburn,318,0.20
52.23.205.67,443,443,true,IAD,North America,US,Ashburn,278,0.19
54.160.253.148,443,443,true,IAD,North America,US,Ashburn,286,0.19
54.225.2.27,443,443,true,IAD,North America,US,Ashburn,240,0.19
16.171.5.225,443,443,true,CPH,Europe,DK,Copenhagen,266,0.19
44.222.255.205,443,443,true,IAD,North America,US,Ashburn,424,0.19
50.19.58.214,443,443,true,IAD,North America,US,Ashburn,336,0.18
3.113.1.135,2086,443,true,HKG,Asia Pacific,HK,Hong Kong,302,0.18
3.74.162.109,443,443,true,FRA,Europe,DE,Frankfurt,176,0.18
3.89.114.150,443,443,true,IAD,North America,US,Ashburn,322,0.18
18.130.175.131,443,443,true,LHR,Europe,GB,London,301,0.18
54.164.182.171,443,443,true,IAD,North America,US,Ashburn,259,0.18
52.91.97.30,443,443,true,IAD,North America,US,Ashburn,342,0.18
3.99.213.148,443,443,true,YUL,North America,CA,Montréal,342,0.18
34.204.10.197,443,443,true,IAD,North America,US,Ashburn,289,0.18
3.91.98.98,443,443,true,IAD,North America,US,Ashburn,396,0.18
3.91.190.58,443,443,true,IAD,North America,US,Ashburn,300,0.18
3.80.120.148,443,443,true,IAD,North America,US,Ashburn,312,0.18
98.81.167.103,443,443,true,IAD,North America,US,Ashburn,374,0.17
3.144.76.86,443,443,true,IAD,North America,US,Ashburn,261,0.17
54.145.202.59,443,443,true,IAD,North America,US,Ashburn,292,0.17
15.156.84.6,443,443,true,YUL,North America,CA,Montréal,330,0.17
35.159.141.132,443,443,true,FRA,Europe,DE,Frankfurt,265,0.17
52.19.208.58,443,443,true,DUB,Europe,IE,Dublin,300,0.17
54.145.32.185,443,443,true,IAD,North America,US,Ashburn,274,0.17
107.20.128.9,443,443,true,IAD,North America,US,Ashburn,342,0.17
35.172.180.18,443,443,true,IAD,North America,US,Ashburn,286,0.17
3.80.49.254,443,443,true,IAD,North America,US,Ashburn,363,0.16
18.246.167.82,443,443,true,SEA,North America,US,Seattle,319,0.16
3.8.91.170,443,443,true,LHR,Europe,GB,London,251,0.16
3.93.195.7,443,443,true,IAD,North America,US,Ashburn,293,0.16
18.135.188.86,443,443,true,LHR,Europe,GB,London,385,0.16
18.195.239.246,443,443,true,FRA,Europe,DE,Frankfurt,298,0.16
52.204.127.57,443,443,true,IAD,North America,US,Ashburn,461,0.16
3.113.1.135,2086,443,true,HKG,Asia Pacific,HK,Hong Kong,231,0.16
35.159.62.114,443,443,true,FRA,Europe,DE,Frankfurt,263,0.15
3.67.77.67,443,443,true,FRA,Europe,DE,Frankfurt,281,0.15
3.22.112.218,443,443,true,IAD,North America,US,Ashburn,246,0.15
18.135.67.188,443,443,true,LHR,Europe,GB,London,342,0.15
16.171.12.187,443,443,true,CPH,Europe,DK,Copenhagen,315,0.15
35.89.126.84,443,443,true,SEA,North America,US,Seattle,294,0.15
18.197.129.191,443,443,true,FRA,Europe,DE,Frankfurt,305,0.15
18.156.21.22,443,443,true,FRA,Europe,DE,Frankfurt,297,0.15
3.76.154.119,443,443,true,FRA,Europe,DE,Frankfurt,304,0.15
3.76.154.119,443,443,true,FRA,Europe,DE,Frankfurt,246,0.14
3.120.212.75,443,443,true,FRA,Europe,DE,Frankfurt,271,0.14
3.120.212.75,443,443,true,FRA,Europe,DE,Frankfurt,227,0.14
52.14.224.139,443,443,true,IAD,North America,US,Ashburn,356,0.14
18.134.37.97,443,443,true,LHR,Europe,GB,London,216,0.14
18.237.67.146,443,443,true,SEA,North America,US,Seattle,198,0.14
3.96.59.239,443,443,true,YUL,North America,CA,Montréal,354,0.13
3.99.12.39,443,443,true,YUL,North America,CA,Montréal,407,0.13
3.127.23.205,443,443,true,FRA,Europe,DE,Frankfurt,197,0.13
47.128.236.163,443,443,true,SIN,Asia Pacific,SG,Singapore,267,0.13
44.226.147.29,443,443,true,PDX,North America,US,Portland,214,0.13
44.226.147.29,443,443,true,PDX,North America,US,Portland,263,0.13
44.227.22.10,443,443,true,PDX,North America,US,Portland,331,0.13
3.97.71.193,443,443,true,YUL,North America,CA,Montréal,260,0.13
34.251.217.22,443,443,true,DUB,Europe,IE,Dublin,224,0.13
44.230.218.23,443,443,true,PDX,North America,US,Portland,233,0.12
44.227.22.10,443,443,true,SEA,North America,US,Seattle,326,0.12
3.84.184.147,443,443,true,IAD,North America,US,Ashburn,310,0.12
54.71.238.195,443,443,true,PDX,North America,US,Portland,351,0.12
54.71.238.195,443,443,true,SEA,North America,US,Seattle,334,0.12
50.112.166.63,443,443,true,PDX,North America,US,Portland,198,0.12
44.230.218.23,443,443,true,SEA,North America,US,Seattle,358,0.12
52.90.10.243,443,443,true,IAD,North America,US,Ashburn,310,0.12
51.20.185.54,443,443,true,CPH,Europe,DK,Copenhagen,216,0.12
50.112.166.63,443,443,true,PDX,North America,US,Portland,302,0.11
107.21.21.110,443,443,true,IAD,North America,US,Ashburn,316,0.11
54.204.39.251,443,443,true,IAD,North America,US,Ashburn,284,0.10
35.183.182.59,443,443,true,YUL,North America,CA,Montréal,256,0.10
3.138.59.154,443,443,true,CMH,North America,US,Columbus,300,0.10
18.117.111.249,443,443,true,IAD,North America,US,Ashburn,317,0.10
